No. 0	UNF	80	0,3175	0.0600	1,5240	0.0519	0.0465	No.0-80 UNF
No. 1	UNC	64	0,3969	0.0730	1,8542	0.0629	0.0561	No.1-64 UNC
No. 1	UNF	72	0,3528	0.0730	1,8542	0.0640	0.0580	No.1-72 UNF
No. 2	UNC	56	0,4536	0.0860	2,1844	0.0744	0.0667	No.2-56 UNC
No. 2	UNF	64	0,3969	0.0860	2,1844	0.0759	0.0691	No.2-64 UNF
No. 3	UNC	48	0,5292	0.0990	2,5146	0.0855	0.0764	No.3-48 UNC
No. 3	UNF	56	0,4536	0.0990	2,5146	0.0874	0.0797	No.3-56 UNF
No. 4	UNC	40	0,6350	0.1120	2,8448	0.0958	0.0849	No.4-40 UNC
No. 4	UNF	48	0,5292	0.1120	2,8448	0.0985	0.0894	No.4-48 UNF
No. 5	UNC	40	0,6350	0.1250	3,1750	0.1088	0.0979	No.5-40 UNC
No. 5	UNF	44	0,5773	0.1250	3,1750	0.1102	0.1004	No.5-44 UNF
No. 6	UNC	32	0,7937	0.1380	3,5052	0.1177	0.1042	No.6-32 UNC
No. 6	UNF	40	0,6350	0.1380	3,5052	0.1218	0.1109	No.6-40 UNF
No. 8	UNC	32	0,7937	0.1640	4,1656	0.1437	0.1302	No.8-32 UNC
No. 8	UNF	36	0,7056	0.1640	4,1656	0.1460	0.1339	No.8-36 UNF
No. 10	UNC	24	1,0583	0.1900	4,8260	0.1629	0.1449	No.10-24 UNC
No. 10	UNF	32	0,7937	0.1900	4,8260	0.1697	0.1562	No.10-32 UNF
No. 12	UNC	24	1,0583	0.2160	5,4864	0.1889	0.1709	No.12-24 UNC
No. 12	UNF	28	0,9071	0.2160	5,4864	0.1928	0.1773	No.12-28 UNF
No. 12	UNEF	32	0,7937	0.2160	5,4864	0.1957	0.1822	No.12-32 UNEF
1/4	UNC	20	1,2700	0.2500	6,3500	0.2175	0.1959	1/4 - 20 UNC
1/4	UNF	28	0,9071	0.2500	6,3500	0.2268	0.2113	1/4 - 28 UNF
1/4	UNEF	32	0,7937	0.2500	6,3500	0.2297	0.2162	1/4 - 32 UNEF
5/16	UNC	18	1,4111	0.3125	7,9375	0.2764	0.2524	5/16 - 18 UNC
5/16	UN 20	20	1,2700	0.3125	7,9375	0.2800	0.2584	5/16 - 20 UN 20
5/16	UNF	24	1,0583	0.3125	7,9375	0.2854	0.2674	5/16 - 24 UNF
5/16	UN 28	28	0,9071	0.3125	7,9375	0.2893	0.2738	5/16 - 28 UN 28
5/16	UNEF	32	0,7937	0.3125	7,9375	0.2922	0.2787	5/16 - 32 UNEF
3/8	UNC	16	1,5875	0.3750	9,5250	0.3344	0.3073	3/8 - 16 UNC
3/8	UN 20	20	1,2700	0.3750	9,5250	0.3425	0.3209	3/8 - 20 UN 20
3/8	UNF	24	1,0583	0.3750	9,5250	0.3479	0,3299	3/8 - 24 UNF
3/8	UN 28	28	0,9071	0.3750	9,5250	0.3518	0.3363	3/8 - 28 UN 28
3/8	UNEF	32	0,7937	0.3750	9,5250	0.3547	0.3412	3/8 - 32 UNEF
7/16	UNC	14	1,8143	0.4375	11,1125	0.3911	0.3602	7/16 - 14 UNC
7/16	UN 16	16	1,5875	0.4375	11,1125	0.3969	0.3698	7/16 - 16 UN 16
7/16	UNF	20	1,2700	0.4375	11,1125	0.4050	0.3834	7/16 - 20 UNF
7/16	UNEF	28	0,9071	0.4375	11,1125	0.4143	0.3988	7/16 - 28 UNEF
7/16	UN 32	32	0,7937	0.4375	11,1125	0.4172	0.4037	7/16 - 32 UN 32
1/2	UNC	13	1,9538	0.5000	12,7000	0.4500	0.4167	1/2 - 13 UNC
1/2	UN 16	16	1,5875	0.5000	12,7000	0.4594	0.4323	1/2 - 16 UN 16
1/2	UNF	20	1,2700	0.5000	12,7000	0.4675	0.4459	1/2 - 20 UNF
1/2	UNEF	28	0,9071	0.5000	12,7000	0.4768	0.4613	1/2 - 28 UNEF
1/2	UN 32	32	0,7937	0.5000	12,7000	0.4797	0.4662	1/2 - 32 UN 32
9/16	UNC	12	2,1167	0.5625	14,2875	0.5084	0.4723	9/16 - 12 UNC
9/16	UN 16	16	1,5875	0.5625	14,2875	0.5219	0.4948	9/16 - 16 UN 16
9/16	UNF	18	1,4111	0.5625	14,2875	0.5264	0.5024	9/16 - 18 UNF
9/16	UN 20	20	1,2700	0.5625	14,2875	0.5300	0.5084	9/16 - 20 UN 20
9/16	UNEF	24	1,0583	0.5625	14,2875	0.5354	0.5174	9/16 - 24 UNEF
9/16	UN 28	28	0,9071	0.5625	14,2875	0.5393	0.5238	9/16 - 28 UN 28
9/16	UN 32	32	0,7937	0.5625	14,2875	0.5422	0.5287	9/16 - 32 UN 32
5/8	UNC	11	2,3091	0.6250	15,8750	0.5660	0.5266	5/8 - 11 UNC
5/8	UN 12	12	2,1167	0.6250	15,8750	0.5709	0.5348	5/8 - 12 UN 12
5/8	UN 16	16	1,5875	0.6250	15,8750	0.5844	0.5573	5/8 - 16 UN 16
5/8	UNF	18	1,4111	0.6250	15,8750	0.5889	0.5649	5/8 - 18 UNF
5/8	UN 20	20	1,2700	0.6250	15,8750	0.5925	0.5709	5/8 - 20 UN 20
5/8	UNEF	24	1,0583	0.6250	15,8750	0.5979	0.5799	5/8 - 24 UNEF
5/8	UN 28	28	0,9071	0.6250	15,8750	0.6018	0.5863	5/8 - 28 UN 28
5/8	UN 32	32	0,7937	0.6250	15,8750	0.6047	0.5912	5/8 - 32 UN 32
11/16	UN 12	12	2,1167	0.6875	17,4625	0.6334	0.5973	11/16 - 12 UN 12
11/16	UN 16	16	1,5875	0.6875	17,4625	0.6469	0.6198	11/16 - 16 UN 16
11/16	UN 20	20	1,2700	0.6875	17,4625	0.6550	0.6334	11/16 - 20 UN 20
11/16	UNEF	24	1,0583	0.6875	17,4625	0.6604	0.6424	11/16 - 24 UNEF
11/16	UN 28	28	0,9071	0.6875	17,4625	0.6643	0.6488	11/16 - 28 UN 28
11/16	UN 32	32	0,7937	0.6875	17,4625	0.6672	0.6537	11/16 - 32 UN 32
3/4	UNC	10	2,5400	0.7500	19,0500	0.6850	0.6417	3/4 - 10 UNC
3/4	UN 12	12	2,1167	0.7500	19,0500	0.6959	0.6598	3/4 - 12 UN 12
3/4	UNF	16	1,5875	0.7500	19,0500	0.7094	0.6823	3/4 - 16 UNF
3/4	UNEF	20	1,2700	0.7500	19,0500	0.7175	0.6959	3/4 - 20 UNEF
3/4	UN 28	28	0,9071	0.7500	19,0500	0.7268	0.7113	3/4 - 28 UN 28
3/4	UN 32	32	0,7937	0.7500	19,0500	0.7297	0.7162	3/4 - 32 UN 32
13/16	UN 12	12	2,1167	0.8125	20,6375	0.7584	0.7223	13/16 - 12 UN 12
13/16	UN 16	16	1,5875	0.8125	20,6375	0.7719	0.7448	13/16 - 16 UN 16
13/16	UNEF	20	1,2700	0.8125	20,6375	0.7800	0.7584	13/16 - 20 UNEF
13/16	UN 28	28	0,9071	0.8125	20,6375	0.7893	0.7738	13/16 - 28 UN 28
13/16	UN 32	32	0,7937	0.8125	20,6375	0.7922	0.7787	13/16 - 32 UN 32
7/8	UNC	9	2,8222	0.8750	22,2250	0.8028	0.7547	7/8 - 9 UNC
7/8	UN 12	12	2,1167	0.8750	22,2250	0.8209	0.7848	7/8 - 12 UN 12
7/8	UNF	14	1,8143	0.8750	22,2250	0.8286	0.7977	7/8 - 14 UNF
7/8	UN 16	16	1,5875	0.8750	22,2250	0.8344	0.8073	7/8 - 16 UN 16
7/8	UNEF	20	1,2700	0.8750	22,2250	0.8425	0.8209	7/8 - 20 UNEF
7/8	UN 28	28	0,9071	0.8750	22,2250	0.8518	0.8363	7/8 - 28 UN 28
7/8	UN 32	32	0,7937	0.8750	22,2250	0.8547	0.8412	7/8 - 32 UN 32
15/16	UN 12	12	2,1167	0.9375	23,8125	0.8834	0.8473	15/16 - 12 UN 12
15/16	UN 16	16	1,5875	0.9375	23,8125	0.8969	0.8698	15/16 - 16 UN 16
15/16	UNEF	20	1,2700	0.9375	23,8125	0.9050	0.8834	15/16 - 20 UNEF
15/16	UN 28	28	0,9071	0.9375	23,8125	0.9143	0.8988	15/16 - 28 UN 28
15/16	UN 32	32	0,7937	0.9375	23,8125	0.9172	0.9037	15/16 - 32 UN 32
1	UNC	8	3,1750	1.0000	25,4000	0.9188	0.8647	1 - 8 UNC
1	UNF	12	2,1167	1.0000	25,4000	0.9459	0.9098	1 - 12 UNF
1	UN 16	16	1,5875	1.0000	25,4000	0.9594	0.9323	1 - 16 UN 16
1	UNEF	20	1,2700	1.0000	25,4000	0.9675	0.9459	1 - 20 UNEF
1	UN 28	28	0,9071	1.0000	25,4000	0.9768	0.9613	1 - 28 UN 28
1	UN 32	32	0,7937	1.0000	25,4000	0.9797	0.9662	1 - 32 UN 32
1 1/16	UN 8	8	3,1750	1.0625	26,9875	0.9813	0.9272	1 1/16 - 8 UN 8
1 1/16	UN 12	12	2,1167	1.0625	26,9875	1.0084	0.9723	1 1/16 - 12 UN 12
1 1/16	UN 16	16	1,5875	1.0625	26,9875	1.0219	0.9948	1 1/16 - 16 UN 16
1 1/16	UNEF	18	1,4111	1.0625	26,9875	1.0264	1.0024	1 1/16 - 18 UNEF
1 1/16	UN 20	20	1,2700	1.0625	26,9875	1.0300	1.0084	1 1/16 - 20 UN 20
1 1/16	UN 28	28	0,9071	1.0625	26,9875	1.0393	1.0238	1 1/16 - 28 UN 28
1 1/8	UNC	7	3,6286	1.1250	28,5750	1.0322	0.9704	1 1/8 - 7 UNC
1 1/8	UN 8	8	3,1750	1.1250	28,5750	1.0438	0.9897	1 1/8 - 8 UN 8
1 1/8	UNF	12	2,1167	1.1250	28,5750	1.0709	1.0348	1 1/8 - 12 UNF
1 1/8	UN 16	16	1,5875	1.1250	28,5750	1.0844	1.0573	1 1/8 - 16 UN 16
1 1/8	UNEF	18	1,4111	1.1250	28,5750	1.0889	1.0649	1 1/8 - 18 UNEF
1 1/8	UN 20	20	1,2700	1.1250	28,5750	1.0925	1.0709	1 1/8 - 20 UN 20
1 1/8	UN 28	28	0,9071	1.1250	28,5750	1.1018	1.0863	1 1/8 - 28 UN 28
1 3/16	UN 8	8	3,1750	1.1875	30,1625	1.1063	1.0522	1 3/16 - 8 UN 8
1 3/16	UN 12	12	2,1167	1.1875	30,1625	1.1334	1.0973	1 3/16 - 12 UN 12
1 3/16	UN 16	16	1,5875	1.1875	30,1625	1.1469	1.1198	1 3/16 - 16 UN 16
1 3/16	UNEF	18	1,4111	1,1875	30,1625	1.1514	1.1274	1 3/16 - 18 UNEF
1 3/16	UN 20	20	1,2700	1.1875	30,1625	1.1550	1.1334	1 3/16 - 20 UN 20
1 3/16	UN 28	28	0,9071	1.1875	30,1625	1.1643	1.1488	1 3/16 - 28 UN 28
