W 1/4	20	1,270	6,350	-20 -250	5,537	0 -100	4,724	6,350	5,537	+100 0	4,724	+456 +20
W 5/16	18	1,411	7,938	-20 -288	7,034	0 -112	6,130	7,938	7,034	+112 0	6,130	+520 +0
W 3/8	16	1,588	9,525	-20 -325	8,508	0 -125	7,491	9,525	8,508	+125 0	7,491	+559 +20
W 7/16	14	1,814	11,112	-20 -363	9,950	0 -140	8,788	11,112	9,950	+140 0	8,788	+612 +20
W 1/2	12	2,117	12,700	-25 -400	11,344	0 -140	9,988	12,700	11,344	+140 0	9,988	+662 +25
W 9/16	12	2,117	14,288	-25 -438	12,932	0 -140	11,576	14,288	12,932	+140 0	11,576	+674 +25
W 5/8	11	2,309	15,875	-30 -475	14,396	0 -140	12,917	15,875	14,396	+140 0	12,917	+683 +30
W 3/4	10	2,540	19,050	-30 -500	17,424	0 -160	15,798	19,050	17,424	+160 0	15,798	+752 +30
W 7/8	9	2,822	22,225	-36 -525	20,418	0 -160	18,611	22,225	20,418	+160 0	18,611	+789 +36
W 1	8	3,175	25,400	-40 -550	23,367	0 -180	21,334	25,400	23,367	+180 0	21,334	+866 +40
W 1 1/8	7	3,629	28,575	-50 -575	26,251	0 -180	23,927	28,575	26,251	+180 0	23,927	+873 +50
W 1 1/4	7	3,629	31,750	-50 -600	29,426	0 -180	27,102	31,750	29,426	+180 0	27,102	+948 +50
W 1 3/8	6	4,233	34,925	-50 -625	32,214	0 -200	29,503	34,925	32,214	+200 0	29,503	+997 +50
W 1 1/2	6	4,233	38,100	-50 -650	35,389	0 -200	32,678	38,100	35,389	+200 0	32,678	+1072 +50
W 1 5/8	5	5,080	41,275	-60 -675	38,022	0 -200	34,769	41,275	38,022	+200 0	34,769	+1131 +60
W 1 3/4	5	5,080	44,450	-60 -750	41,197	0 -200	37,944	44,450	41,197	+200 0	37,944	+1156 +60
W 1 7/8	4,5	5,644	47,625	-70 -825	44,011	0 -224	40,397	47,625	44,011	+224 0	40,397	+1253 +70
W 2	4,5	5,644	50,800	-70 -850	47,186	0 -224	43,572	50,800	47,186	+224 0	43,572	+1248 +70
W 2 1/4	4	6,350	57,150	-80 -900	53,084	0 -224	49,018	57,150	53,084	+224 0	49,018	+1382 +80
W 2 1/2	4	6,350	63,500	-80 -900	59,434	0 -250	55,368	63,500	59,434	+250 0	55,368	+1382 +80
W 2 3/4	3,5	7,257	69,850	-90 -950	65,203	0 -250	60,556	69,850	65,203	+250 0	60,556	+1594 +90
W 3	3,5	7,257	76,200	-90 -1000	71,553	0 -250	66,906	76,200	71,553	+250 0	66,906	+1594 +90
W 3 1/4	3,25	7,815	82,550	-100 -1050	77,546	0 -280	72,542	82,550	77,546	+280 0	72,542	+1658 +100
W 3 1/2	3,25	7,815	88,900	-100 -1100	83,896	0 -280	78,892	88,900	83,896	+280 0	78,892	+1708 +100
W 3 3/4	3	8,467	95,250	-100 -1150	89,828	0 -280	84,406	95,250	89,828	+280 0	84,406	+1794 +100
W 4	3	8,467	101,600	-100 -1200	96,178	0 -280	90,756	101,600	96,178	+280 0	90,756	+1844 +100
W 4 1/2	2,875	8,835	114,300	-110 -1200	108,643	0 -315	102,986	114,300	108,643	+315 0	102,986	+1914 +110
W 5	2,75	9,236	127,000	-110 -1300	121,086	0 -315	115,172	127,000	121,086	+315 0	115,172	+1928 +110
W 5 1/2	2,625	9,676	139,700	-120 -1300	133,504	0 -315	127,308	139,700	133,504	+315 0	127,308	+2092 +120
W 6	2,5	10,160	152,400	-130 -1400	145,894	0 -355	139,388	152,400	145,894	+355 0	139,388	+2112 +130
