1/16	28	0,907	7,723	7,142	6,561	4,9 3,1	1	1 1/4	7,4 6,5	2 3/4
1/8	28	0,907	9,728	9,147	8,566	4,9 3,1	1	1 1/4	7,4 6,5	2 3/4
1/4	19	1,337	13,157	12,301	11,445	7,3 4,7	1	1 1/4	11,0 8,4	2 3/4
3/8	19	1,337	16,662	15,806	14,950	7,7 5,1	1	1 1/4	11,4 8,8	2 3/4
1/2	14	1,814	20,955	19,793	18,631	10,0 6,4	1	1 1/4	15,0 11,4	2 3/4
3/4	14	1,814	26,441	25,279	24,117	11,3 7,7	1	1 1/4	16,3 12,7	2 3/4
1	11	2,309	33,249	31,770	30,291	12,7 8,1	1	1 1/4	19,1 14,5	2 3/4
1 1/4	11	2,309	41,910	40,431	38,952	15,0 10,4	1	1 1/4	21,4 16,8	2 3/4
1 1/2	11	2,309	47,803	46,324	44,845	15,0 10,4	1	1 1/4	21,4 16,8	2 3/4
2	11	2,309	59,614	58,135	56,656	18,2 13,6	1	1 1/4	25,7 21,1	3 1/4
2 1/2	11	2,309	75,184	73,705	72,226	21,0 14,0	1 1/2	1 1/2	30,2 23,2	4
3	11	2,309	87,884	86,405	84,926	24,1 17,1	1 1/2	1 1/2	33,3 26,3	4
4	11	2,309	113,030	111,551	110,072	28,9 21,9	1 1/2	1 1/2	39,3 32,3	4 1/2
5	11	2,309	138,430	136,951	135,472	32,1 25,1	1 1/2	1 1/2	43,6 36,6	5
6	11	2,309	163,830	162,351	160,872	32,1 25,1	1 1/2	1 1/2	43,6 36,6	5
