0,2	M0,8	0,5	0,25	0,4	1,6	0,3	1,0	0,8	2,0	0,25
0,25	M1;M1,2	0,6	0,3	0,5	1,8	0,3	1,2	1,0	2,5	0,25
0,3	M1,4	0,75	0,4	0,6	2,0	0,4	1,2	1,2	2,8	0,25
0,35	M1,6; M1,8	0,9	0,45	0,7	2,2	0,4	1,5	1,4	3,2	0,3
0,4	M2	1	0,5	0,8	2,5	0,6	1,5	1,6	3,5	0,3
0,45	M2,2; M2,5	1,1	0,6	0,9	3,0	0,6	2,0	1,8	4,0	0,3
0,5	M3	1,25	0,7	1,0	3,0	0,8	2,0	2,0	5,0	0,5
0,6	M3,5	1,5	0,75	1,2	3,5	0,8	2,5	2,4	5,5	0,5
0,7	M4	1,75	0,9	1,4	3,5	1,0	2,5	2,8	6	0,5
0,75	M4,5	1,9	1	1,5	4	1,0	2,5	3,0	7	0,5
0,8	M5	2	1	1,6	4	1,2	2,5	3,2	8	1
1,0	M6; M7	2,5	1,25	2,0	6	1,5	4	4	10	1
1,25	M8	3,2	1,6	2,5	8	1,8	4	5	12	1,6
1,5	M10	3,8	1,9	3,0	9	2,0	4	6	13	1,6
1,75	M12	4,3	2,2	3,5	11	2,5	5	7	16	1,6
2	M14; M16	5	2,5	4	11	3,0	5	8	16	2,0
2,5	M18; M20; M22	6,3	3,2	5	12	3,5	6	10	18	2,5
3	M24; M27	7,5	3,8	6	15	4	7	12	22	2,5
3,5	M30; M33	9	4,5	7	17	5	8	14	25	3,5
4	M36; M39	10	5	8	19	6	9	16	28	3,5
4,5	M42; M45	11	5,5	9	23	6	11	18	33	4
5	M48; M52	12,5	6,3	10	26	7	12	20	37	5
5,5	M56; M60	14	7	11	28	8	13	22	40	5
6	M64; M68	15	7,5	12	28	9	13	24	42	6
