6	0,71	 1,0	1,4	2,0	2,8	4,0	5,6
7	1,0	1,4	2,0	2,8	4,0	5,6	8,0
8	1,4	2,0	2,8	4,0	5,6	8,0	11,2
9	2,0	2,8	4,0	5,6	8,0	11,2	16,0
10	2,8	4,0	5,6	8,0	11,2	16,0	22,4
11	4,0	5,6	8,0	11,2	16,0	22,4	31,5
12	5,6	8,0	11,2	16,0	22,4	31,5	45,0
14	8,0	11,2	16,0	22,4	31,5	45,0	63,0
16	11,2	16,0	22,4	31,5	45,0	63,0	90,0
18	16,0	22,4	13,5	45,0	63,0	90,0	125
(19)	18,0	25,0	35,5	50,0	71,0	100	140
20	22,4	31,5	45,0	63,0	90,0	125	180
22	31,5	45,0	63,0	90,0	125	180	250
(24)	35,5	50,0	71,0	100	140	200	280
25	45,0	63,0	90,0	125	180	250	355
28	45,0	63,0	90,0	125	180	250	355	500
30	50,0	71,0	100	140	200	280	400	560
32	63,0	90,0	125	180	250	355	500	710
35	90,0	125	180	250	355	500	710	1000
36	90,0	125	180	250	355	500	710	1000
(38)	100	140	200	280	400	560	800	1120
40	125	180	250	355	500	710	1000	1400
(42)	140	200	280	400	560	800	1120	1600
45	180	250	355	500	710	1000	1400	2000
(48)	200	280	400	560	800	1120	1600	2240
50	250	355	500	710	1000	1400	2000	2800
(53)	280	400	560	800	1120	1600	2240	3150
55	355	500	710	1000	1400	2000	2800	4000
(56)	355	500	710	1000	1400	2000	2800	4000
60	400	560	800	1120	1600	2240	3150	4500
