65	41	62,537	0,5	65	59,6	60	65,421	62,537	63°
70	45	67,500	0	70	64,6	65	70,546	67,500	59°
75	48	72,433	0,25	75	69,6	70	75,500	72,433	60°
80	51	77,407	0,5	80	74,6	75	80,443	77,407	61°
85	55	82,420	0	85	79,6	80	85,529	82,420	58°
90	58	87,389	0,25	90	84,6	85	90,488	87,389	59°
95	61	92,399	0,5	95	89,6	90	95,433	92,399	60°
100	65	97,581	0	100	94,6	95	100,486	97,581	58°
105	68	102,606	0,25	105	99,6	100	105,445	102,606	59°
110	71	107,674	0,5	110	104,6	105	110,397	107,674	60°
115	75	112,340	0	115	109,6	110	115,503	112,340	57°
120	78	117,399	0,25	120	114,6	115	120,506	117,399	58°
