7,5	- 0,063	-0,126	0	0	+0,063	+0,126	62,537	+0,5	+0,421	+0,341	+0,150	+0,300
9	-0,065	-0,130	0	0	+0,065	+0,130	67,500	0	-0,080	-0,160	+0,160	+0,320
11	-0,068	-0,136	0	0	+0,068	+0,136	72,433	+0,25	+0,166	+0,082	+0,165	+0,330
13	-0,070	-0,140	0	0	+0,070	+0,140	77,407	+0,5	+0,409	+0,318	+0,175	+1,350
16	-0,075	-0,150	0	0	+0,075	+0,150	82,420	0	-0,092	-0,184	+0,185	+0,370
18,5	-0,080	-0,160	0	0	+0,080	+0,150	87,389	+0,25	+0,154	+0,057	+0,190	+0,380
22	-0,085	-0,170	0	0	+0,085	+0,170	92,399	+0,5	+0,397	+0,293	+0,200	+0,400
28	-0,095	-0,190	0	0	+0,095	+0,190	97,581	0	-0,103	-0,205	+0,205	+0,410
32	-0,100	-0,200	0	0	+0,100	+0,200	102,606	+0,25	+0,140	+0,031	+0,215	+0,430
38	-0,110	-0,220	0	0	+0,110	+0,220	107,674	+0,5	+0,386	+0,272	+0,220	+0,440
42	-0,115	-0,230	0	0	+0,115	+0,230	112,340	0	0,114	0,229	+0,230	+0,460
47,5	-0,125	-0,250	0	0	+0,125	+0,250	117,399	+0,25	+0,129	+0,007	+0,240	+0,480
52,5	-0,135	-0,270	0	0	+0,135	+0,270
57,5	-0,140	-0,280	0	0	+0,140	+0,280
