7H	<i>ES</i>	+25	+28	+32	+36	+40	-	-
<i>El<sub>a</sub></i>	+9	+10	+12	+14	+15
<i>El</i>	0	0	0	0	0	-	-
9H	<i>ES</i>	+50	+56	+63	+71	+80	-	-
<i>El<sub>e</sub></i>	+18	+20	+23	+26	+30
<i>El</i>	0	0	0	0	0	-	-
11H	<i>ES</i>	+100	+112	+125	+140	+160	-	-
<i>El<sub>e</sub></i>	+37	+41	+45	+50	+60	-	-
<i>El</i>	0	0	0	0	0	-	-
7H	<i>ES</i>	-	+32	+36	+40	+45	+50	-
<i>El<sub>e</sub></i>	-	+12	+14	+15	+17	+18	-
<i>El</i>	-	0	0	0	0	0	-
9H	<i>ES</i>	-	+63	+71	+80	+90	+100	-
<i>El<sub>e</sub></i>	-	+23	+26	+30	+34	+37	-
<i>El</i>	-	0	0	0	0	0	-
11H	<i>ES</i>	-	+125	+140	+160	+180	+200	-
<i>El<sub>e</sub></i>	-	+45	+50	+60	+68	+75	-
<i>El</i>	-	0	0	0	0	0	-
7H	<i>ES</i>	-	-	+40	+45	+50	+56	+63
<i>El<sub>e</sub></i>	-	-	+15	+17	+18	+20	+23
<i>El</i>	-	-	0	0	0	0	0
9H	<i>ES</i>	-	-	+80	+90	+100	+112	+125
<i>El<sub>e</sub></i>	-	-	+30	+34	+37	+41	+45
<i>El</i>	-	-	0	0	0	0	0
11H	<i>ES</i>	-	-	+160	+180	+200	+224	+250
<i>El<sub>e</sub></i>	+60	+68	+75	+84	+90
<i>El</i>	-	-	0	0	0	0	0

7f	<i>es</i>	-16	-18	-20	-22	-25	-	-
<i>es<sub>e</sub></i>	-24	-28	-32	-36	-40	-	-
<i>ei</i>	-41	-46	-52	-58	-65	-	-
7h	<i>es</i>	0	0	0	0	0	-	-
<i>es<sub>e</sub></i>	-9	-10	-12	-14	-15	-	-
<i>ei</i>	-25	-28	-32	-36	-40	-	-
7n	<i>es</i>	+32	+36	+40	+44	+50	-	-
<i>es<sub>e</sub></i>	+23	+26	+28	+30	+35	-	-
<i>ei</i>	+7	+8	+8	+8	+10	-	-
8f	<i>es</i>	-16	-18	-20	-22	-25	-	-
<i>es<sub>e</sub></i>	-30	-33	-37	-40	-45	-	-
<i>ei</i>	-32	-58	-65	-72	-81	-	-
8k	<i>es</i>	+16	+18	+20	+22	+25	-	-
<i>es<sub>e</sub></i>	+2	+3	+3	+4	+5	-	-
<i>ei</i>	-20	-22	-25	-28	-31	-	-
8p	<i>es</i>	+48	+54	+60	+66	+75	-	-
<i>es<sub>e</sub></i>	+34	+39	+43	+48	+55	-	-
<i>ei</i>	+12	+14	+15	+16	+19	-	-
9d	<i>es</i>	-32	-36	-40	-44	-50	-	-
<i>es<sub>e</sub></i>	-50	-56	-63	-70	-80	-	-
<i>ei</i>	-82	-92	-103	-115	-130	-	-
9g	<i>es</i>	-8	-9	-10	-11	-12	-	-
<i>es<sub>e</sub></i>	-26	-29	-33	-37	-42	-	-
<i>ei</i>	-58	-65	-73	-82	-92	-	-
9h	<i>es</i>	0	0	0	0	0	-	-
