0,12	200	0,12700	1,375	18	1,41111	7	3,5	7,25714
0,14	180	0,14111	1,5	16	1,58750	8	3	8,46667
	160	0,15875	1,75	14	1,81429	9	2,75	9,23636
0,18	140	0,18143	2	12	2,11667	10	2,5	10,16000
0,2	120	0,21167	2,25	11	2,30909	11	2,25	11,28889
0,25	100	0,25400	2,5	10	2,54000	12	2	12,70000
0,3	80	0,31750	2,75	9	2,82222	14	1,75	14,51429
0,35	64	0,39688	3	8	3,17500	16	1,5	16,93333
0,5	48	0,52917	3,5	7	3,62857	20	1,25	20,32000
0,6	40	0,63500	4	6	4,23333	25	1	25,40000
0,7	36	0,70556	4,5	5,5	4,16818	28	0,875	29,02857
0,75	32	0,79375	5	5	5,08000	32	0,75	33,86667
0,9	28	0,90714	5,5	4,5	5,64444	40	0,625	40,64000
1	24	1,05833	6	4	6,35000	50	0,5	50,80000
1,25	20	1,27000
