5	20	0,5	2	1,8	2,5	3,5	5	7	10	14	20	28	40
2	3,5	2,6	3,6	5	7	10	14	20	29	41	58
20	50	0,5	2	2	2,8	4	5,5	8	11	16	22	32	45
2	3,5	2,8	3,9	5,5	8	11	16	22	31	44	62
3,5	6	3,4	4,8	7	9,5	14	19	27	39	54	77
50	125	0,5	2	2,3	3,2	4,5	6,5	9	13	18	26	36	51
2	3,5	3	4,3	6	8,5	12	17	24	34	49	69
3,5	6	3,7	5	7,5	10	15	21	29	42	59	83
6	10	4,5	6,5	9	13	18	25	36	51	72	101
125	280	0,5	2	2,7	3,8	5,5	7,5	11	15	21	30	43	60
2	3,5	3,4	4,9	7	9,5	14	19	28	39	55	78
3,5	6	4,1	6	8	12	16	23	33	45	65	93
6	10	4,9	7	10	14	20	28	39	55	78	111
280	560	0,5	2	3,2	4,5	6,5	9	13	18	26	36	51	72
2	3,5	4	5,5	8	11	16	22	32	45	64	90
3,5	6	4,6	6,5	9	13	18	26	37	52	74	104
6	10	5,5	7,5	11	15	22	31	43	61	87	123
560	1000	0,5	2	3,8	5,5	7,5	11	15	22	31	43	61	87
2	3,5	4,6	6,5	9	13	18	26	37	52	74	104
3,5	6	5,5	7,5	11	15	21	30	42	59	84	119
6	10	6	8,5	12	17	24	34	48	68	97	137
