5	20	0,5	2	2,3	3,3	4,7	6,5	9,5	13	19	26	37	53	5,5	8	11	16	23	32	45	64	90	127
2	3,5	2,6	3,7	5	7,5	10,5	15	21	29	41	59	6	8,512	17	23	66	47	66	94	133
20	50	0,5	2	2,5	3,5	5	7	10	14	20	28	40	56	7	10	14	20	29	41	57	81	115	162
2	3,5	2,7	3,9	5,5	7,5	11	15	22	31	44	62	7,5	10	15	21	30	42	59	84	119	168
3,5	6	3	4,3	6	8,5	12	17	24	34	48	68	7,5	11	15	22	31	44	62	87	123	174
50	125	0,5	2	2,7	3,8	5,5	7,5	11	15	21	30	43	61	9	13	18	26	37	52	74	104	147	208
2	3,5	2,9	4,1	6	8,5	12	17	23	33	47	66	9,5	13	19	27	38	53	76	107	151	214
3,5	6	3,2	4,6	6,5	9	13	18	26	36	52	73	9,5	14	19	28	39	55	76	110	156	220
6	10	3,7	5	7,5	10	15	21	30	42	59	84	10	14	20	29	41	58	82	116	164	231
10	16	4,4	6,5	9	13	18	25	35	50	71	100	11	15	22	31	44	62	88	124	175	248
125	280	0,5	2	3	4,2	6	8,5	12	17	24	34	48	67	12	17	24	35	49	69	98	138	195	278
2	3,5	3,2	4,6	6,5	9	13	18	26	36	51	73	12	18	25	35	50	70	100	141	199	282
3,5	6	3,5	5	7	10	14	20	28	40	56	79	13	18	25	36	51	72	102	144	204	288
6	10	4	5,5	8	11	16	23	32	45	64	90	13	19	26	37	53	75	106	149	211	299
10	16	4,7	6,5	9,5	13	19	27	38	53	75	107	14	20	28	39	56	79	112	158	223	316
16	25	6	8	12	16	23	33	47	66	93	132	15	21	30	43	60	65	120	170	241	341
280	560	0,5	2	3,3	4,7	6,5	9,5	13	19	27	38	54	76	16	23	32	46	64	91	129	182	257	364
2	3,5	3,6	5	7	10	14	20	29	41	57	81	16	23	33	46	65	92	131	185	261	370
3,5	6	3,9	5,5	8	11	16	22	31	44	62	88	17	24	33	47	66	94	133	188	266	376
6	10	4	6	8,5	12	17	25	35	49	70	99	17	24	34	48	68	97	137	193	274	387
10	16	4,7	6,5	9,5	13	19	27	38	53	75	107	14	20	28	39	56	79	112	158	223	316
16	25	6	8	12	16	23	33	47	66	93	132	15	21	30	43	60	65	120	170	241	341
280	560	0,5	2	3,3	4,7	6,5	9,5	13	19	27	38	54	76	16	23	32	46	64	91	129	182	257	364
2	3,5	3,6	5	7	10	14	20	29	41	57	81	16	23	33	46	65	92	131	185	261	370
3,5	6	3,9	5,5	8	11	16	22	31	44	62	88	17	24	33	47	66	94	133	188	266	376
6	10	4	6	8,5	12	17	25	35	49	70	99	17	24	34	48	68	97	137	193	274	387
10	16	5	7	10	14	20	19	41	58	81	115	18	25	36	50	71	101	143	202	285	404
16	25	6,1	9	12	18	25	35	50	70	99	140	19	27	38	54	76	107	151	214	303	428
25	40	8	11	16	22	32	45	63	90	127	180	21	29	41	58	83	117	165	234	331	468
560	1000	0,5	2	3,8	5,5	7,5	11	15	21	30	43	61	86	21	29	41	59	83	117	166	235	323	469
2	3,5	4	5,5	8	11	16	23	32	46	65	91	21	30	42	59	84	119	168	238	336	475
3,5	6	4,3	6	8,5	12	17	24	35	49	69	96	21	30	43	60	85	120	17	241	341	482
6	10	4,8	7	9,5	14	19	27	38	54	77	109	22	31	44	62	87	123	174	246	348	492
10	16	5,5	8	11	16	22	31	44	63	89	125	22	32	45	64	90	127	180	254	360	509
16	25	6,5	9,5	13	19	27	38	53	75	106	150	24	33	47	67	94	133	189	267	378	534
25	40	8,5	12	17	24	34	47	67	95	134	190	25	36	51	72	101	143	203	287	405	573
1000	1600	2	3,5	4,5	6,5	9	13	18	26	36	51	72	103	26	37	52	74	105	148	209	296	418	591
3,5	6	4,8	7	9,5	14	19	27	39	55	77	109	26	37	53	75	106	149	211	299	423	598
6	10	5,5	7,5	11	15	21	30	42	60	85	120	27	38	54	76	108	152	215	304	430	608
10	16	6	8,5	12	17	24	34	48	68	97	136	28	39	55	78	111	156	221	313	443	625
16	25	7	10	14	20	29	40	57	81	114	161	29	41	57	81	115	163	230	325	460	650
25	40	9	13	18	25	36	50	71	100	142	201	30	43	61	86	122	172	244	345	488	690
